GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,3,GAME_OVER,7,0,2,2,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,3,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,4,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-428737539,Connect4,5,GAME_OVER,11,0,2,6,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1745970416,Connect4,3,GAME_OVER,7,0,2,7,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1436161366,Connect4,7,GAME_OVER,15,0,2,8,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,9,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
697067980,Connect4,3,GAME_OVER,7,0,2,10,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1168140970,Connect4,3,GAME_OVER,7,0,2,11,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1491060889,Connect4,3,GAME_OVER,7,0,2,12,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1819802610,Connect4,3,GAME_OVER,7,0,2,13,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-2121274456,Connect4,3,GAME_OVER,7,0,2,14,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
259280696,Connect4,3,GAME_OVER,7,0,2,15,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1706137030,Connect4,3,GAME_OVER,7,0,2,16,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
545138396,Connect4,3,GAME_OVER,7,0,2,17,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1376458976,Connect4,3,GAME_OVER,7,0,2,18,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1195311045,Connect4,5,GAME_OVER,11,0,2,19,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
813477029,Connect4,5,GAME_OVER,11,0,2,20,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1466178614,Connect4,3,GAME_OVER,7,0,2,21,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-118322159,Connect4,5,GAME_OVER,11,0,2,22,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
-1428166355,Connect4,5,GAME_OVER,11,0,2,23,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1144294523,Connect4,5,GAME_OVER,11,0,2,24,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
2100098225,Connect4,5,GAME_OVER,11,0,2,25,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
23994827,Connect4,3,GAME_OVER,7,0,2,26,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
1662792176,Connect4,3,GAME_OVER,7,0,2,27,BasicMCTS,-1.0,1.0,FirstAction,2,BasicMCTS,2,1,1,FirstAction,FirstAction,BasicMCTS,0
